Quelle;Kategorie;Eingabe_Rohbegriff;Zielbegriff_Normalisiert
mappings.py;LOKALISATION_GT_MAPPING;Bein, Unterschenkel Richtung Fuß;Bein
mappings.py;LOKALISATION_GT_MAPPING;Bein, evtl. links, Unterschenkel;Bein
mappings.py;LOKALISATION_GT_MAPPING;Bein, evtl. rechts, Unterschenkel;Bein
mappings.py;LOKALISATION_GT_MAPPING;Bein, genaue Definition nicht möglich;Bein
mappings.py;LOKALISATION_GT_MAPPING;Bein, genauere Lokalisation nicht genau definierbar;Bein
mappings.py;LOKALISATION_GT_MAPPING;Bein, wo genau nicht definierbar;Bein
mappings.py;LOKALISATION_GT_MAPPING;Das Bild zeigt ein großflächiges venöses Ulcus cruris bei ausgeprägter chronisch venöser Stauung und Adipositas-assoziierter Belastung. Möglich, Oberschenkel links, Unterschenkel;Bein
mappings.py;LOKALISATION_GT_MAPPING;Ferse;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Ferse, Achillessehne;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Ferse, linker Fuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Ferse, rechter Fuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;"Ferse, scheint links zu sein:
gelblich-fibrinösem Belag
mäßiger Exsudation
gerötetem Wundrand";Fuß
mappings.py;LOKALISATION_GT_MAPPING;Fuß lateral links;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Fuß links plantar;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Fuß links plantar  lateral;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Fuß rechts;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Fuß, Ferse links;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Fußrücken;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Fußrücken linker Fuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Fußrücken rechter Fuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Fußsohle Ferse;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Gesäß-/Sakralregion;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Gesäß-/perianale Region eines Säuglings;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Knöchelinnenseite;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Lokalisation: Fußrücken, lateraler Vorfuß sowie Zehenbereiche;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Lokalisation: Unterschenkelbereich;Bein
mappings.py;LOKALISATION_GT_MAPPING;Lokalisation: Unterschenkelregion;Bein
mappings.py;LOKALISATION_GT_MAPPING;Lokalisation: lateraler Mittelfuß/Knöchelbereich;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Lokalisation: lateraler Vor-/Mittelfuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;Lokalisation: sakrogluteale/perianale Region beidseits;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Lokalisation: vermutlich Sakral-/Gesäßregion;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Oberarb Muskulus bizeps;Arm / Hand
mappings.py;LOKALISATION_GT_MAPPING;Os Sacrum;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Rima Ani;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Sakralbereich;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Sakralbereich linke hälfte;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Sakraler Bereich;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Steiß;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;Unterarm;Arm / Hand
mappings.py;LOKALISATION_GT_MAPPING;Unterschenkel;Bein
mappings.py;LOKALISATION_GT_MAPPING;Unterschenkel  medial;Bein
mappings.py;LOKALISATION_GT_MAPPING;Unterschenkel warsch. gamaschenartig / bereits zirkulierend;Bein
mappings.py;LOKALISATION_GT_MAPPING;Unterschenkel weit umfassend;Bein
mappings.py;LOKALISATION_GT_MAPPING;Unterschenkel, Außenseite auf Knie Höhe;Bein
mappings.py;LOKALISATION_GT_MAPPING;Unterschenkel, rechts, Innenseite;Bein
mappings.py;LOKALISATION_GT_MAPPING;Unterschenkel/Knöchelregion, zirkumferenziell ausgedehnt;Bein
mappings.py;LOKALISATION_GT_MAPPING;Unterschenkel?;Bein
mappings.py;LOKALISATION_GT_MAPPING;"chronisches Ulkus im Bereich der Achillessehne
dorsaler Unterschenkel / Achillessehnenregion";Bein
mappings.py;LOKALISATION_GT_MAPPING;ferse, fußsohle;Fuß
mappings.py;LOKALISATION_GT_MAPPING;"fibrinösem gelblich-weißem Belag,
mäßiger Exsudation,
gerötetem Wundrand,
--> vermutlich entzündlicher bzw. kritisch kolonisierter Situation,";Enthaltung / keine Angabe
mappings.py;LOKALISATION_GT_MAPPING;größeres, flächiges Ulcus am Unterschenkel (Wade) bei ausgeprägtem Ödem und Adipositas-assoziierter Hautveränderung.;Bein
mappings.py;LOKALISATION_GT_MAPPING;keine Angabe möglich;Enthaltung / keine Angabe
mappings.py;LOKALISATION_GT_MAPPING;könnte Innenseite linker Fuß sein;Fuß
mappings.py;LOKALISATION_GT_MAPPING;könnte Unterschenkel oder Handgelenk sein;Enthaltung / keine Angabe
mappings.py;LOKALISATION_GT_MAPPING;könnte am linken Fuß sein... Knöchelbereich;Fuß
mappings.py;LOKALISATION_GT_MAPPING;könnte der Unterschenkel sein, rechts;Bein
mappings.py;LOKALISATION_GT_MAPPING;könnte oberhalb des os sacrum liegen;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;könnte sich im Bereich des Steißes befinden;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;lateral linker Fuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;li lateraler Malleolus;Fuß
mappings.py;LOKALISATION_GT_MAPPING;li. Fußrücken;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linke Ferse;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuss;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fussrücken;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;"linker Fuß
Lokalisation: dorsaler und lateraler Vorfuß mit Beteiligung der Zehenbasis";Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß - dorsaler Vorfuß/Fußrücken;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß außen;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß lateratl;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß medial, malleolär;Fuß
mappings.py;LOKALISATION_GT_MAPPING;"linker Fuß medial-lateral 
kleine Nekrose an der Ferse außen plantar";Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß, Außenseite;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß, Ferse;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß, Innenseite;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß, Mittelfußsohle, Ferse;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß, Spann, Fußrücken;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß, außenseite;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fuß, seite;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Fußrücken;Fuß
mappings.py;LOKALISATION_GT_MAPPING;linker Oberarm, Innenseite;Arm / Hand
mappings.py;LOKALISATION_GT_MAPPING;linker Oberarm/ Innenseitig;Arm / Hand
mappings.py;LOKALISATION_GT_MAPPING;linker proximaler Unterschenkel lateral;Bein
mappings.py;LOKALISATION_GT_MAPPING;linkes Bein unterhalb Knie lateral;Bein
mappings.py;LOKALISATION_GT_MAPPING;lokalisation nicht genau zu definieren;Enthaltung / keine Angabe
mappings.py;LOKALISATION_GT_MAPPING;mediale Fußseite linker Fuß;Fuß
